AGE;GENDER;DOMAIN;PhD;YEARSEXP;UOC_POSITION;USERWIKI;PU1;PU2;PU3;PEU1;PEU2;PEU3;ENJ1;ENJ2;Qu1;Qu2;Qu3;Qu4;Qu5;Vis1;Vis2;Vis3;Im1;Im2;Im3;SA1;SA2;SA3;Use1;Use2;Use3;Use4;Use5;Pf1;Pf2;Pf3;JR1;JR2;BI1;BI2;Inc1;Inc2;Inc3;Inc4;Exp1;Exp2;Exp3;Exp4;Exp5
54;male;Arts&Humanities;Yes;14;Associate;No;4;4;5;4;5;4;5;5;4;4;2;5;3;4;3;4;3;3;3;5;5;4;1;1;4;4;5;1;2;3;3;2;4;3;5;5;4;2;5;5;5;1;1
38;male;Arts&Humanities;No;10;Lecturer;No;3;2;3;5;4;3;4;4;4;3;2;4;4;4;3;1;2;2;3;4;4;4;2;1;1;1;4;1;2;1;5;4;3;3;5;4;4;3;3;4;4;1;3
38;male;Arts&Humanities;Yes;5;Assistant;No;3;3;4;4;4;3;4;3;3;3;3;3;3;4;3;1;4;4;3;5;5;5;2;1;3;1;4;1;1;1;4;2;3;4;5;5;4;4;3;3;4;2;1
43;male;Arts&Humanities;Yes;12;Associate;Yes;4;4;4;5;5;3;4;4;4;4;4;2;5;5;5;5;2;1;3;5;5;5;5;4;5;5;5;3;2;5;5;2;5;5;3;3;4;5;5;5;5;2;2
38;male;Arts&Humanities;Yes;12;Associate;No;3;2;3;5;4;3;4;4;3;4;3;5;2;3;3;1;3;3;3;4;5;3;2;1;3;3;3;4;3;3;4;4;3;3;4;4;4;2;2;3;4;1;3
37;male;Arts&Humanities;Yes;9;Associate;No;3;2;3;4;3;3;4;3;2;2;2;4;1;3;3;1;2;3;3;3;4;3;1;1;2;2;2;3;2;3;3;3;2;2;3;3;3;3;2;2;4;1;2
39;male;Arts&Humanities;Yes;10;Associate;No;3;3;4;4;4;?;4;3;4;4;4;2;4;?;?;3;2;2;3;4;4;4;4;4;4;4;4;2;2;2;4;2;4;4;4;2;2;4;4;4;2;1;?
52;male;Arts&Humanities;Yes;10;Assistant;Yes;2;2;4;5;4;2;3;4;4;4;2;4;1;2;4;1;2;4;3;4;4;2;1;1;4;3;4;1;1;1;4;3;2;4;4;5;3;3;4;5;5;2;3
32;male;Arts&Humanities;No;2;Instructor;No;4;4;5;4;4;5;5;4;3;5;3;2;4;3;3;4;4;5;4;5;5;5;3;3;4;4;4;5;1;3;5;5;3;4;5;2;2;4;4;5;3;2;4
62;male;Arts&Humanities;Yes;17;Associate;Yes;4;4;5;5;4;4;3;3;5;5;3;3;4;2;3;5;2;2;2;4;4;4;4;5;5;4;4;5;4;4;3;2;4;5;3;5;3;4;5;5;3;4;4
